kommune,klassetrin,skoleår,fravaer_pct,trivsel_score
Faaborg-Midtfyn,Udskoling,2021/2022,9.1,3.6368868868868867
Faaborg-Midtfyn,Udskoling,2022/2023,7.8,3.5597097097097095
Faaborg-Midtfyn,Udskoling,2023/2024,9.1,3.4455
Faaborg-Midtfyn,Udskoling,2024/2025,9.6,3.4596096096096094
Fanø,Mellemtrin,2019/2020,4.8,3.8382617382617377
Fanø,Mellemtrin,2020/2021,5.9,3.758
Fanø,Mellemtrin,2021/2022,10.1,3.7439999999999993
Fanø,Mellemtrin,2022/2023,7.6,3.614935064935065
Fanø,Mellemtrin,2023/2024,8.6,3.635085085085085
Fanø,Mellemtrin,2024/2025,9.3,3.6209999999999996
Fanø,Udskoling,2019/2020,6.5,3.7814
Fanø,Udskoling,2020/2021,8.5,3.7889999999999997
Fanø,Udskoling,2021/2022,14.7,3.7001998001998
Fanø,Udskoling,2022/2023,8.6,3.72
Fanø,Udskoling,2023/2024,9.6,3.6889999999999996
Fanø,Udskoling,2024/2025,11.4,3.64245
Favrskov,Mellemtrin,2019/2020,4.0,3.8327
Favrskov,Mellemtrin,2020/2021,4.0,3.8368499999999996
Favrskov,Mellemtrin,2021/2022,8.0,3.7278000000000002
Favrskov,Mellemtrin,2022/2023,7.0,3.6577499999999996
Favrskov,Mellemtrin,2023/2024,8.0,3.6599099099099095
Favrskov,Mellemtrin,2024/2025,8.2,3.6869
Favrskov,Udskoling,2019/2020,5.3,3.7467999999999995
Favrskov,Udskoling,2020/2021,5.1,3.694944944944944
Favrskov,Udskoling,2021/2022,9.4,3.6668168168168167
Favrskov,Udskoling,2022/2023,8.2,3.6015999999999995
Favrskov,Udskoling,2023/2024,9.1,3.585835835835836
Favrskov,Udskoling,2024/2025,9.9,3.5607392607392603
Faxe,Mellemtrin,2019/2020,6.4,3.6434999999999995
Faxe,Mellemtrin,2020/2021,7.0,3.5661
Faxe,Mellemtrin,2021/2022,9.9,3.5255499999999995
Faxe,Mellemtrin,2022/2023,8.5,3.4831500000000006
Faxe,Mellemtrin,2023/2024,9.1,3.474274274274274
Faxe,Mellemtrin,2024/2025,9.2,3.4334000000000002
Faxe,Udskoling,2019/2020,7.7,3.6236
Faxe,Udskoling,2020/2021,8.7,3.58585
Faxe,Udskoling,2021/2022,11.6,3.5455999999999994
Faxe,Udskoling,2022/2023,10.6,3.4654
Faxe,Udskoling,2023/2024,10.6,3.3581499999999993
Faxe,Udskoling,2024/2025,10.1,3.4173673673673677
Fredensborg,Mellemtrin,2019/2020,5.5,3.9118999999999993
Fredensborg,Mellemtrin,2020/2021,4.9,3.7966033966033965
Fredensborg,Mellemtrin,2021/2022,7.8,3.772627372627372
Fredensborg,Mellemtrin,2022/2023,7.2,3.6135864135864137
Fredensborg,Mellemtrin,2023/2024,7.6,3.6296499999999994
Fredensborg,Mellemtrin,2024/2025,7.7,3.7176
Fredensborg,Udskoling,2019/2020,5.8,3.8239
Fredensborg,Udskoling,2020/2021,5.0,3.7889000000000004
Fredensborg,Udskoling,2021/2022,8.2,3.735899999999999
Fredensborg,Udskoling,2022/2023,8.0,3.673823823823823
Fredensborg,Udskoling,2023/2024,8.2,3.5826499999999992
Fredensborg,Udskoling,2024/2025,8.2,3.5923999999999996
Fredericia,Mellemtrin,2019/2020,5.1,3.77375
Fredericia,Mellemtrin,2020/2021,7.1,3.7847999999999997
Fredericia,Mellemtrin,2021/2022,8.3,3.7633866133866127
Fredericia,Mellemtrin,2022/2023,6.6,3.6596500000000005
Fredericia,Mellemtrin,2023/2024,7.9,3.6156999999999995
Fredericia,Mellemtrin,2024/2025,8.0,3.6349349349349347
Fredericia,Udskoling,2019/2020,6.3,3.685835835835835
Fredericia,Udskoling,2020/2021,7.3,3.66958041958042
Fredericia,Udskoling,2021/2022,9.5,3.6356500000000005
Fredericia,Udskoling,2022/2023,8.5,3.5665500000000003
Fredericia,Udskoling,2023/2024,9.1,3.512512512512512
Fredericia,Udskoling,2024/2025,8.9,3.50455
Frederiksberg,Mellemtrin,2019/2020,4.4,3.750649350649351
Frederiksberg,Mellemtrin,2020/2021,4.0,3.7498999999999993
Frederiksberg,Mellemtrin,2021/2022,6.3,3.7368
Frederiksberg,Mellemtrin,2022/2023,6.7,3.6738499999999994
Frederiksberg,Mellemtrin,2023/2024,6.8,3.655644355644356
Frederiksberg,Mellemtrin,2024/2025,7.1,3.6890390390390393
Frederiksberg,Udskoling,2019/2020,5.9,3.7237999999999998
Frederiksberg,Udskoling,2020/2021,5.2,3.73075
Frederiksberg,Udskoling,2021/2022,8.2,3.669630369630369
Frederiksberg,Udskoling,2022/2023,8.4,3.6136999999999997
Frederiksberg,Udskoling,2023/2024,8.5,3.57075
Frederiksberg,Udskoling,2024/2025,8.5,3.60465
Frederikshavn,Mellemtrin,2019/2020,5.5,3.7599099099099096
Frederikshavn,Mellemtrin,2020/2021,5.4,3.72485
Frederikshavn,Mellemtrin,2021/2022,8.3,3.7468968968968968
Frederikshavn,Mellemtrin,2022/2023,7.8,3.648948948948949
Frederikshavn,Mellemtrin,2023/2024,8.1,3.6159159159159158
Frederikshavn,Mellemtrin,2024/2025,8.0,3.6756999999999995
Frederikshavn,Udskoling,2019/2020,6.2,3.7099599599599595
Frederikshavn,Udskoling,2020/2021,6.6,3.6386
Frederikshavn,Udskoling,2021/2022,10.2,3.661338661338661
Frederikshavn,Udskoling,2022/2023,8.6,3.6186313686313687
Frederikshavn,Udskoling,2023/2024,9.2,3.5906593406593403
Frederikshavn,Udskoling,2024/2025,9.4,3.57075
Frederikssund,Mellemtrin,2019/2020,6.6,3.7457499999999997
Frederikssund,Mellemtrin,2020/2021,6.5,3.7078499999999996
Frederikssund,Mellemtrin,2021/2022,9.7,3.6616500000000003
Frederikssund,Mellemtrin,2022/2023,8.6,3.5866999999999996
Frederikssund,Mellemtrin,2023/2024,8.3,3.624799999999999
Frederikssund,Mellemtrin,2024/2025,8.8,3.6478999999999995
Frederikssund,Udskoling,2019/2020,7.7,3.6688688688688686
Frederikssund,Udskoling,2020/2021,8.0,3.6624999999999996
Frederikssund,Udskoling,2021/2022,11.7,3.6337999999999995
Frederikssund,Udskoling,2022/2023,10.0,3.546646646646647
Frederikssund,Udskoling,2023/2024,10.5,3.514614614614615
Frederikssund,Udskoling,2024/2025,10.8,3.5373999999999994
Furesø,Mellemtrin,2019/2020,4.8,3.9379500000000003
Furesø,Mellemtrin,2020/2021,4.8,3.8982482482482474
Furesø,Mellemtrin,2021/2022,8.3,3.78075
Furesø,Mellemtrin,2022/2023,7.5,3.7135499999999997
Furesø,Mellemtrin,2023/2024,7.4,3.7000500500500495
Furesø,Mellemtrin,2024/2025,7.9,3.7708499999999994
Furesø,Udskoling,2019/2020,5.0,3.8416083916083914
Furesø,Udskoling,2020/2021,4.9,3.8238499999999997
Furesø,Udskoling,2021/2022,7.9,3.7597499999999995
Furesø,Udskoling,2022/2023,7.6,3.7116499999999997
Furesø,Udskoling,2023/2024,8.1,3.63165
Furesø,Udskoling,2024/2025,8.5,3.6858000000000004
Gentofte,Mellemtrin,2019/2020,4.7,3.8259
Gentofte,Mellemtrin,2020/2021,4.7,3.8471471471471466
Gentofte,Mellemtrin,2021/2022,8.0,3.77385
Gentofte,Mellemtrin,2022/2023,6.8,3.7237499999999994
Gentofte,Mellemtrin,2023/2024,7.1,3.695945945945946
Gentofte,Mellemtrin,2024/2025,7.5,3.7777
Gentofte,Udskoling,2019/2020,5.5,3.843949999999999
Gentofte,Udskoling,2020/2021,4.4,3.7977499999999997
Gentofte,Udskoling,2021/2022,8.4,3.7218500000000008
Gentofte,Udskoling,2022/2023,7.1,3.64675
Gentofte,Udskoling,2023/2024,7.9,3.6216999999999997
Gentofte,Udskoling,2024/2025,8.1,3.634515484515484
Gladsaxe,Mellemtrin,2019/2020,5.3,3.7097499999999997
Gladsaxe,Mellemtrin,2020/2021,4.7,3.7097999999999995
Gladsaxe,Mellemtrin,2021/2022,7.4,3.6508008008008
Gladsaxe,Mellemtrin,2022/2023,6.5,3.6626999999999996
Gladsaxe,Mellemtrin,2023/2024,7.7,3.6347500000000004
Gladsaxe,Mellemtrin,2024/2025,7.1,3.7078499999999996
Gladsaxe,Udskoling,2019/2020,5.6,3.719680319680319
Gladsaxe,Udskoling,2020/2021,5.5,3.6777499999999996
Gladsaxe,Udskoling,2021/2022,8.1,3.627927927927928
Gladsaxe,Udskoling,2022/2023,6.7,3.6127999999999996
Gladsaxe,Udskoling,2023/2024,7.6,3.5718499999999995
Gladsaxe,Udskoling,2024/2025,8.3,3.6397000000000004
Glostrup,Mellemtrin,2019/2020,6.3,3.7308499999999993
Glostrup,Mellemtrin,2020/2021,6.1,3.670479520479521
Glostrup,Mellemtrin,2021/2022,8.2,3.639639639639639
Glostrup,Mellemtrin,2022/2023,7.7,3.6094500000000003
Glostrup,Mellemtrin,2023/2024,7.8,3.5636136136136134
Glostrup,Mellemtrin,2024/2025,7.7,3.6147
Glostrup,Udskoling,2019/2020,8.0,3.7151651651651654
Glostrup,Udskoling,2020/2021,7.9,3.6406406406406404
Glostrup,Udskoling,2021/2022,7.9,3.621349999999999
Glostrup,Udskoling,2022/2023,7.4,3.5955544455544453
Glostrup,Udskoling,2023/2024,8.4,3.5027999999999997
Glostrup,Udskoling,2024/2025,8.7,3.46455
Greve,Mellemtrin,2019/2020,5.8,3.75064935064935
Greve,Mellemtrin,2020/2021,6.4,3.7226999999999997
Greve,Mellemtrin,2021/2022,9.9,3.7477022977022973
Greve,Mellemtrin,2022/2023,8.2,3.6730230230230227
Greve,Mellemtrin,2023/2024,8.7,3.599749749749749
Greve,Mellemtrin,2024/2025,9.0,3.6228228228228225
Greve,Udskoling,2019/2020,5.9,3.74865
Greve,Udskoling,2020/2021,6.6,3.7059
Greve,Udskoling,2021/2022,10.3,3.6915584415584415
Greve,Udskoling,2022/2023,8.4,3.5916999999999994
Greve,Udskoling,2023/2024,9.0,3.5406999999999993
Greve,Udskoling,2024/2025,9.5,3.5548048048048044
Gribskov,Mellemtrin,2019/2020,9.3,3.78051948051948
Gribskov,Mellemtrin,2020/2021,7.3,3.7215784215784216
Gribskov,Mellemtrin,2021/2022,11.6,3.714799999999999
Gribskov,Mellemtrin,2022/2023,10.6,3.6647499999999997
Gribskov,Mellemtrin,2023/2024,11.5,3.6098598598598604
Gribskov,Mellemtrin,2024/2025,11.1,3.6014999999999997
Gribskov,Udskoling,2019/2020,8.1,3.644505494505494
Gribskov,Udskoling,2020/2021,8.1,3.6614885114885114
Gribskov,Udskoling,2021/2022,12.7,3.5465000000000004
Gribskov,Udskoling,2022/2023,10.7,3.4981999999999993
Gribskov,Udskoling,2023/2024,12.0,3.494705294705294
Gribskov,Udskoling,2024/2025,11.9,3.43525
Guldborgsund,Mellemtrin,2019/2020,6.5,3.79085
Guldborgsund,Mellemtrin,2020/2021,6.8,3.6939439439439434
Guldborgsund,Mellemtrin,2021/2022,11.0,3.7108
Guldborgsund,Mellemtrin,2022/2023,9.1,3.6749249249249245
Guldborgsund,Mellemtrin,2023/2024,9.2,3.6337499999999987
Guldborgsund,Mellemtrin,2024/2025,8.0,3.63765
Guldborgsund,Udskoling,2019/2020,7.0,3.6868868868868865
Guldborgsund,Udskoling,2020/2021,8.2,3.6286286286286282
Guldborgsund,Udskoling,2021/2022,12.2,3.6047999999999996
Guldborgsund,Udskoling,2022/2023,10.7,3.5167
Guldborgsund,Udskoling,2023/2024,11.6,3.4553499999999997
Guldborgsund,Udskoling,2024/2025,8.2,3.51145
Haderslev,Mellemtrin,2019/2020,5.1,3.8341841841841844
Haderslev,Mellemtrin,2020/2021,5.6,3.75385
Haderslev,Mellemtrin,2021/2022,8.3,3.7578499999999995
Haderslev,Mellemtrin,2022/2023,7.1,3.6968
Haderslev,Mellemtrin,2023/2024,7.5,3.6816499999999994
Haderslev,Mellemtrin,2024/2025,7.1,3.7519019019019013
Haderslev,Udskoling,2019/2020,6.4,3.72002002002002
Haderslev,Udskoling,2020/2021,6.6,3.68785
Haderslev,Udskoling,2021/2022,9.9,3.6368000000000005
Haderslev,Udskoling,2022/2023,8.7,3.5265500000000007
Haderslev,Udskoling,2023/2024,9.1,3.4592907092907086
Haderslev,Udskoling,2024/2025,10.6,3.48635
Halsnæs,Mellemtrin,2019/2020,5.8,3.7765999999999997
Halsnæs,Mellemtrin,2020/2021,6.4,3.6618499999999994
